timestamp,retailer,category,section,brand,product_name,pack_size,flavor,retailer_sku,canonical_url,status,price,currency,source,baseline,baseline_db,regular_price,pct_off,deal_strength,price_per_unit,unit_source,image_url,availability_raw,availability_norm,pickup_available,shipping_available
2026-09-25T15:13:55.820205+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Wild Berry,0088939200032,https://www.harristeeter.com/p/celsius-sparkling-wild-berry-energy-drink-can/0088939200032,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939200032,both,both,1,1
2026-09-25T15:13:57.614684+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Playa Vibe (Pina Colada),0088939200174,https://www.harristeeter.com/p/celsius-sparkling-playa-vibe-energy-drink-can/0088939200174,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939200174,both,both,1,1
2026-09-25T15:13:59.256213+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Peach Vibe,0088939201019,https://www.harristeeter.com/p/celsius-sparkling-peach-vibe-energy-drink-can/0088939201019,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939201019,both,both,1,1
2026-09-25T15:14:00.706862+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Mango Lemonade,0088939200178,https://www.harristeeter.com/p/celsius-sparkling-mango-lemonade-energy-drink-can/0088939200178,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939200178,both,both,1,1
2026-09-25T15:14:02.425223+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Kiwi Guava,0088939201014,https://www.harristeeter.com/p/celsius-sparkling-kiwi-guava-energy-drink-can/0088939201014,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939201014,both,both,1,1
2026-09-25T15:14:03.926454+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Fuji Apple Pear,0088939201017,https://www.harristeeter.com/p/celsius-sparkling-fuji-apple-pear-energy-drink-can/0088939201017,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939201017,both,both,1,1
2026-09-25T15:14:05.567795+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Arctic Vibe (Frozen Berry),0088939202141,https://www.harristeeter.com/p/celsius-sparkling-arctic-vibe-energy-drink-can/0088939202141,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939202141,both,both,1,1
2026-09-25T15:14:07.423873+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Retro Vibe (Sherbert Slush),0088939200172,https://www.harristeeter.com/p/celsius-sparkling-retro-vibe-energy-drink-can/0088939200172,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939200172,both,both,1,1
2026-09-25T15:14:08.895883+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Cosmic Vibe (Fruit Punch),0088939200120,https://www.harristeeter.com/p/celsius-sparkling-cosmic-vibe-energy-drink-can/0088939200120,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939200120,both,both,1,1
2026-09-25T15:14:10.477494+00:00,Harris Teeter,Energy Drink,Drinks,Celsius,Celsius Energy Drink,1,Blue Razz Lemonade,0088939200139,https://www.harristeeter.com/p/celsius-fizz-free-blue-razz-lemonade-energy-drink-can/0088939200139,ok,2.5,USD,kroger_api,2.99,2.99,2.99,0.16387959866220742,💪 Strong Deal,2.5000,db,https://www.kroger.com/product/images/xlarge/front/0088939200139,both,both,1,1
